Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,MIP
250,Andrei Kirilenko\kirilan01,SF,29,UTA,64,62,31.2,4,8.5,0.467,0.6,1.5,0.367,3.4,6.9,0.489,0.5,3.3,4.2,0.77,1.6,3.5,5.1,3,1.3,1.2,1.8,1.8,11.7,16.6,0.567,0.181,0.498,6,13.8,9.9,14.9,2.1,3,15,17.8,2.9,1.7,4.5,0.109,0.8,1.3,2.2,2.1,0
251,Linas Kleiza\kleizli01,SF,26,TOR,39,23,26.5,4.6,10.4,0.438,1,3.4,0.298,3.6,7.1,0.505,0.486,1.1,1.7,0.631,0.9,3.6,4.5,1,0.5,0.2,1.7,2.5,11.2,10.1,0.502,0.323,0.16,4.1,16.5,10.2,6.2,1,0.5,13,21.7,-0.5,0.2,-0.3,-0.012,-2,-2.7,-4.7,-0.7,0
252,Kyle Korver\korveky01,SG,29,CHI,82,0,20.1,3,6.8,0.434,1.5,3.5,0.415,1.5,3.3,0.455,0.542,0.9,1.1,0.885,0.1,1.7,1.8,1.5,0.4,0.2,0.7,1.9,8.3,13,0.572,0.519,0.156,0.9,9.5,5.3,12.1,1.1,0.9,9.2,18.3,2.7,2.4,5.1,0.149,0.8,-0.9,0,0.8,0
257,Gani Lawal\lawalga01,PF,22,PHO,1,0,2,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,1,0,-9.1,,,,0,0,0,0,0,0,,0,0,0,0,-0.009,-5.4,0.5,-4.9,0,0
258,Ty Lawson\lawsoty01,PG,23,DEN,80,31,26.3,4.3,8.6,0.503,0.9,2.1,0.404,3.5,6.5,0.536,0.553,2.2,2.8,0.764,0.8,1.8,2.6,4.7,1,0.1,1.7,1.7,11.7,17.9,0.593,0.249,0.327,3.8,7.6,5.7,28.3,1.9,0.1,14.8,19.6,5.1,1.6,6.7,0.153,3.1,-1.2,1.9,2.1,0
259,Courtney Lee\leeco01,SG,25,HOU,81,1,21.3,3.1,7.1,0.439,0.9,2.1,0.408,2.2,5,0.453,0.501,1.2,1.5,0.792,0.6,2,2.6,1.2,0.7,0.2,0.8,1.3,8.3,12.6,0.534,0.302,0.208,3.3,10.4,6.9,8.9,1.7,0.7,9.8,17.9,1.6,1.1,2.7,0.076,-0.5,-0.9,-1.4,0.2,0
260,David Lee\leeda02,PF,27,GSW,73,73,36.1,6.8,13.4,0.507,0,0,0.333,6.8,13.4,0.508,0.508,2.9,3.7,0.787,3,6.8,9.8,3.2,1,0.4,2.3,2.9,16.5,17.8,0.549,0.003,0.273,9.1,21.9,15.4,14,1.4,0.9,13.4,21.2,4.1,2,6,0.11,0.1,0.1,0.3,1.5,0
262,Jeremy Lin\linje01,PG,22,GSW,29,0,9.8,1,2.5,0.389,0,0.2,0.2,0.9,2.3,0.403,0.396,0.7,0.9,0.76,0.4,0.8,1.2,1.4,1.1,0.3,0.6,1.1,2.6,14.8,0.458,0.069,0.347,4.7,8.9,6.8,20.4,5.9,2.4,17.8,15.6,0,0.4,0.5,0.078,-2.4,3,0.6,0.2,0
263,Shaun Livingston\livinsh01,PG,25,CHA,73,0,17.3,2.5,5.4,0.466,0,0.1,0.25,2.5,5.4,0.468,0.467,1.5,1.7,0.864,0.4,1.6,2,2.2,0.6,0.4,1.2,1.5,6.6,14.3,0.53,0.01,0.315,2.8,11.6,7.2,22.5,2,1.9,16.3,20.1,0.7,1.2,1.9,0.073,-2,0.1,-1.9,0,0
264,Brook Lopez\lopezbr01,C,22,NJN,82,82,35.2,7.9,16,0.492,0,0,0,7.9,16,0.492,0.492,4.7,6,0.787,2.4,3.5,6,1.6,0.6,1.5,2.1,2.9,20.4,19.3,0.549,0.001,0.374,7.8,12.3,10,8.8,0.9,3.2,10.4,27.3,4.4,1.9,6.3,0.105,0.6,-0.4,0.1,1.5,0
265,Robin Lopez\lopezro01,C,22,PHO,67,56,14.8,2.7,5.3,0.501,0,0,,2.7,5.3,0.501,0.501,1.1,1.5,0.74,1.2,2,3.2,0.1,0.3,0.7,0.7,2.1,6.4,13.9,0.539,0,0.28,9.5,15.6,12.6,1.3,0.9,3.4,10.7,20.4,0.8,0.8,1.5,0.074,-3.3,-1.6,-4.9,-0.7,0
266,Kevin Love\loveke01,PF,22,MIN,73,73,35.8,6.6,14.1,0.47,1.2,2.9,0.417,5.4,11.2,0.483,0.513,5.8,6.8,0.85,4.5,10.7,15.2,2.5,0.6,0.4,2.1,2,20.2,24.3,0.593,0.206,0.486,13.7,34.2,23.6,11.8,0.9,0.8,11.1,22.9,8.9,2.5,11.4,0.21,3.9,-0.2,3.7,3.8,1
267,Kyle Lowry\lowryky01,PG,24,HOU,75,71,34.2,4.6,10.8,0.426,1.7,4.6,0.376,2.9,6.2,0.464,0.506,2.6,3.3,0.765,1.2,2.9,4.1,6.7,1.4,0.3,2.1,2.8,13.5,16.5,0.55,0.424,0.31,3.9,9.7,6.8,29.4,2,0.6,14.7,18.6,5.1,1.8,7,0.13,3.1,-0.4,2.7,3,1
268,John Lucas III\lucasjo02,PG,28,CHI,2,0,5,0.5,1.5,0.333,0,0.5,0,0.5,1,0.5,0.333,0,1,0,0,0,0,0.5,0,0,0,0,1,-0.1,0.258,0.333,0.667,0,0,0,15,0,0,0,17.8,0,0,0,-0.121,-8.9,-6.9,-15.8,0,0
269,Corey Maggette\maggeco01,SF,31,MIL,67,18,20.9,3.8,8.3,0.453,0.4,1.2,0.359,3.4,7.2,0.468,0.478,4,4.9,0.834,0.7,2.9,3.6,1.3,0.3,0.1,1.9,2.6,12,15.8,0.573,0.14,0.581,3.6,16.8,10,11.3,0.8,0.3,15.3,27.7,1.5,1.9,3.4,0.115,-1.3,-1.4,-2.7,-0.2,0
270,Jamaal Magloire\magloja01,C,32,MIA,18,0,8.8,0.7,1.2,0.591,0,0,,0.7,1.2,0.591,0.591,0.5,1,0.5,0.9,2.4,3.4,0.2,0.2,0.1,0.3,1.4,1.9,12.7,0.585,0,0.818,13.6,31.2,22.9,2.8,1.3,1,14.3,10.3,0.3,0.3,0.6,0.172,-2.5,-0.1,-2.7,0,0
271,Ian Mahinmi\mahinia01,C,24,DAL,56,0,8.7,1,1.8,0.561,0,0,0,1,1.7,0.573,0.561,1.1,1.5,0.768,0.8,1.4,2.1,0.1,0.3,0.3,0.4,1.9,3.1,13.7,0.645,0.02,0.837,10.7,17.8,14.4,2.5,1.5,2.3,15.7,15.3,1,0.8,1.8,0.177,-1.3,0.8,-0.6,0.2,0
272,Shawn Marion\mariosh01,SF,32,DAL,80,27,28.2,5.4,10.4,0.52,0.1,0.4,0.152,5.4,10,0.536,0.523,1.6,2.1,0.768,2.1,4.8,6.9,1.4,0.9,0.6,1.6,1.8,12.5,17,0.551,0.04,0.197,9.1,19.2,14.3,8.3,1.6,1.7,12.5,21.5,2.3,3.4,5.6,0.12,-0.7,1.8,1.2,1.8,0
273,Sean Marks\marksse01,C,35,POR,29,0,7.2,0.7,1.5,0.432,0.1,0.1,1,0.6,1.4,0.405,0.455,0.2,0.3,0.625,0.6,0.8,1.4,0.1,0.1,0.2,0.4,1.5,1.6,4.9,0.473,0.045,0.182,9,14.8,11.8,2.9,0.8,2,18.8,13.1,-0.1,0.2,0.1,0.019,-5.3,-0.7,-6,-0.2,0
274,Cartier Martin\martica01,SF,26,WAS,52,1,10.4,1.4,3.5,0.39,0.8,1.9,0.394,0.6,1.6,0.386,0.497,0.5,0.8,0.7,0.4,1,1.4,0.3,0.3,0.1,0.3,1,4,11.7,0.524,0.544,0.22,4.1,11.8,7.8,5.2,1.7,0.8,7.4,17.6,0.5,0.3,0.8,0.071,-0.3,-2.7,-3,-0.1,0
275,Kenyon Martin\martike01,PF,33,DEN,48,48,25.7,3.9,7.5,0.511,0,0.2,0.222,3.8,7.4,0.518,0.514,0.9,1.5,0.583,1.4,4.8,6.2,2.3,0.9,0.7,1.2,2.8,8.6,14.1,0.526,0.025,0.199,6.5,20.9,13.9,13.6,1.8,2.2,13,16.4,1,1.6,2.7,0.104,-0.9,2.7,1.8,1.2,0
276,Kevin Martin\martike02,SG,27,HOU,80,80,32.5,6.9,15.8,0.436,2.2,5.7,0.383,4.7,10.1,0.467,0.506,7.4,8.4,0.888,0.4,2.9,3.2,2.5,1,0.2,2.3,1.9,23.5,21.4,0.601,0.362,0.528,1.2,10,5.6,13,1.6,0.4,10.5,29.6,8,1.5,9.5,0.175,4.4,-2.8,1.6,2.3,0
277,Roger Mason\masonro01,SG,30,NYK,26,0,12.3,1,3,0.338,0.6,1.7,0.364,0.4,1.3,0.303,0.442,0.3,0.4,0.7,0.2,1.5,1.7,0.8,0.2,0.1,0.2,1,2.9,7.1,0.461,0.571,0.13,1.8,13.7,7.7,8.8,0.9,0.5,6.9,12.2,0.1,0.1,0.2,0.029,-2.4,-2,-4.4,-0.2,0
278,Wesley Matthews\matthwe02,SG,24,POR,82,69,33.6,5.4,11.9,0.449,1.9,4.6,0.407,3.5,7.3,0.476,0.528,3.2,3.8,0.844,0.6,2.6,3.1,2,1.2,0.1,1.7,2.4,15.9,15.5,0.582,0.386,0.322,2,9.7,5.7,10.2,2,0.3,11,21.3,5,2.3,7.2,0.126,2.1,-1.1,1.1,2.1,1
279,Jason Maxiell\maxieja01,PF,27,DET,57,14,16.3,1.6,3.3,0.492,0,0,,1.6,3.3,0.492,0.492,0.9,1.7,0.515,1.2,1.9,3,0.3,0.4,0.4,0.8,1.6,4.2,9.4,0.51,0,0.524,8.3,14.7,11.4,2.7,1.4,1.8,15.9,13.9,0,0.4,0.5,0.024,-3.6,-0.9,-4.5,-0.6,0
280,Eric Maynor\maynoer01,PG,23,OKC,82,0,14.6,1.6,4.1,0.402,0.5,1.2,0.385,1.2,2.9,0.409,0.458,0.5,0.7,0.729,0.3,1.2,1.5,2.9,0.4,0.1,0.9,1.2,4.2,11.7,0.485,0.288,0.177,2.5,9.1,5.9,30.3,1.5,0.4,17.7,16.5,0.7,0.8,1.5,0.061,-1.2,-2.1,-3.4,-0.4,0
281,O.J. Mayo\mayooj01,SG,23,MEM,71,17,26.3,4.3,10.5,0.407,1.4,3.7,0.364,2.9,6.8,0.431,0.471,1.4,1.8,0.756,0.5,1.9,2.4,2,1,0.4,1.4,1.8,11.3,12.6,0.499,0.353,0.175,2.2,8.7,5.4,12.1,2,1.1,11,21.8,0.5,1.9,2.4,0.062,-0.2,-0.9,-1.1,0.4,0
282,Luc Mbah a Moute\mbahalu01,PF,24,MIL,79,52,26.5,2.5,5.4,0.463,0,0.1,0,2.5,5.3,0.47,0.463,1.7,2.4,0.707,2.1,3.2,5.3,0.9,0.9,0.4,1,2.3,6.7,11.5,0.518,0.016,0.439,9.2,14.3,11.7,5.3,1.8,1.1,13.1,13.1,1.5,3.3,4.8,0.109,-2.3,2.2,0,1,0
283,Antonio McDyess\mcdyean01,PF,36,SAS,73,16,19,2.3,4.7,0.491,0,0,0,2.3,4.7,0.493,0.491,0.7,1.1,0.675,1.7,3.7,5.4,1.2,0.5,0.5,1,2.2,5.3,12.8,0.516,0.003,0.224,10.5,22.3,16.5,9,1.3,2,16,14.9,1,2.1,3,0.105,-2.2,2.2,0,0.7,0
284,JaVale McGee\mcgeeja01,C,23,WAS,79,75,27.8,4.2,7.6,0.55,0,0,0,4.2,7.6,0.552,0.55,1.7,2.9,0.583,2.8,5.2,8,0.5,0.5,2.4,1.3,2.9,10.1,17.4,0.566,0.005,0.381,11.2,22.2,16.5,2.8,1,6.7,12.6,16.3,2.7,2.5,5.3,0.115,-1.8,1.7,-0.1,1,0
285,Tracy McGrady*\mcgratr01,SG,31,DET,72,39,23.4,3.2,7.1,0.442,0.4,1.2,0.341,2.7,5.9,0.462,0.471,1.3,1.8,0.698,0.7,2.8,3.5,3.5,0.9,0.5,1.4,1.4,8,14.9,0.503,0.171,0.251,3.4,15.4,9.1,23.6,2.1,1.6,15.2,18.6,1,1.1,2.1,0.061,-0.5,0.2,-0.3,0.7,0
286,Dominic McGuire\mcguido01,SF,25,CHA,52,8,14.6,1.4,3.5,0.396,0,0,0,1.4,3.5,0.4,0.396,0.6,0.8,0.769,1.2,2.6,3.8,0.8,0.2,0.6,0.5,1.8,3.3,10.4,0.437,0.011,0.214,10,21.8,15.9,9,0.7,3.5,11.2,13.8,0.1,0.9,0.9,0.059,-4,1.5,-2.5,-0.1,0
287,Josh McRoberts\mcrobjo01,PF,23,IND,72,51,22.2,2.9,5.4,0.547,0.3,0.8,0.383,2.6,4.5,0.577,0.576,1.2,1.7,0.739,1.5,3.8,5.3,2.1,0.7,0.8,1.3,2.3,7.4,16,0.608,0.155,0.308,7.6,18.8,13.3,15,1.5,2.6,17.5,14.7,2.6,2.2,4.9,0.147,0.4,2.5,2.9,2,0
288,Jodie Meeks\meeksjo01,SG,23,PHI,74,64,27.9,3.3,7.7,0.425,1.9,4.7,0.397,1.4,3,0.468,0.546,2.1,2.3,0.894,0.3,2,2.3,1.1,0.9,0.1,0.8,1.3,10.5,12.6,0.6,0.611,0.298,1.2,8.4,4.8,5.7,1.6,0.1,8.5,15.7,3.2,1.9,5.1,0.12,1.6,-1,0.6,1.4,0
289,Pops Mensah-Bonsu\mensapo01,PF,27,NOH,7,0,5,0.1,0.4,0.333,0,0,,0.1,0.4,0.333,0.333,0,0,,0.4,1.1,1.6,0.3,0,0,0.3,1.6,0.3,-0.1,0.333,0,0,10.4,28,19.1,8,0,0,40,6.8,0,0,0,0.013,-6.6,1.2,-5.4,0,0
290,C.J. Miles\milescj01,SF,23,UTA,78,19,25.2,4.7,11.5,0.407,1.4,4.3,0.322,3.3,7.2,0.459,0.468,2,2.5,0.811,0.7,2.6,3.3,1.7,0.9,0.5,1.2,2.8,12.8,14.4,0.507,0.377,0.218,3.3,12.4,7.8,11.7,2,1.6,8.6,25.1,1.2,1.3,2.5,0.061,0.4,-2.1,-1.6,0.2,0
291,Darko Mili?i?\milicda01,C,25,MIN,69,69,24.4,3.9,8.4,0.469,0,0,,3.9,8.4,0.469,0.469,0.9,1.7,0.557,1.9,3.3,5.2,1.5,0.8,2,2.2,3.3,8.8,12.2,0.482,0,0.199,8.5,15.4,11.8,9.9,1.6,6.3,19.4,19.7,-1.5,1.7,0.2,0.007,-3.8,3,-0.8,0.5,0
292,Andre Miller\millean02,PG,34,POR,81,81,32.7,4.8,10.4,0.46,0,0.5,0.108,4.7,10,0.476,0.462,3.1,3.6,0.853,1.2,2.5,3.7,7,1.4,0.1,2.4,2.1,12.7,17.8,0.529,0.044,0.346,4.3,9.9,7,35.7,2.3,0.4,16.8,20.6,4.6,2.4,7,0.127,1.3,-0.2,1.1,2.1,0
293,Brad Miller\millebr01,C,34,HOU,60,5,16.9,2.2,4.9,0.446,0.7,1.8,0.374,1.5,3.2,0.487,0.514,1.3,1.6,0.83,0.7,3,3.7,2.4,0.5,0.4,0.9,1.6,6.4,16.3,0.566,0.361,0.318,4.9,19.9,12.4,21.4,1.4,1.4,13.8,17,2,1,3,0.142,1.2,0.6,1.7,0.9,0
294,Mike Miller\millemi01,SG,30,MIA,41,2,20.4,2,4.9,0.401,1,2.9,0.364,0.9,2,0.452,0.507,0.6,0.8,0.676,0.9,3.6,4.5,1.2,0.5,0,1,2.1,5.6,9.7,0.525,0.584,0.168,5.7,19.5,13,9.1,1.3,0.2,15.9,14.4,0.4,1.2,1.6,0.09,-0.8,0.2,-0.6,0.3,0
295,Patty Mills\millspa02,PG,22,POR,64,0,12.2,2.1,5.1,0.412,0.7,2.1,0.353,1.4,3,0.451,0.483,0.6,0.7,0.766,0.3,0.5,0.8,1.7,0.4,0,1,1,5.5,13,0.506,0.405,0.143,2.8,5.2,4,24.3,1.9,0.1,15.1,24.5,0.2,0.5,0.7,0.044,-0.1,-3.5,-3.6,-0.3,0
296,Paul Millsap\millspa01,PF,25,UTA,76,76,34.3,6.9,13,0.531,0.1,0.3,0.391,6.8,12.7,0.535,0.536,3.4,4.4,0.757,2.2,5.5,7.6,2.5,1.4,0.9,1.9,3.6,17.3,19.8,0.578,0.023,0.342,7.5,19.4,13.4,12.6,2.1,2.2,11.3,22.6,5.2,2.5,7.7,0.143,1.6,0.7,2.4,2.9,0
297,Yao Ming*\mingya01,C,30,HOU,5,5,18.2,3.6,7.4,0.486,0,0,,3.6,7.4,0.486,0.486,3,3.2,0.938,1.4,4,5.4,0.8,0,1.6,1.4,2.6,10.2,19.8,0.579,0,0.432,8.7,24.9,16.8,7.3,0,6.1,13.7,24.8,0.2,0.1,0.3,0.147,-2.8,0,-2.8,0,0
299,Greg Monroe\monrogr01,C,20,DET,80,48,27.8,3.8,6.9,0.551,0,0,0,3.8,6.9,0.552,0.551,1.8,2.9,0.622,3.1,4.4,7.5,1.3,1.2,0.6,1,2.5,9.4,18,0.575,0.002,0.424,13,20.4,16.5,7.5,2.3,1.6,11,15.4,4.7,1.9,6.6,0.143,1.4,1,2.5,2.5,0
301,Anthony Morrow\morroan01,SG,25,NJN,58,47,32,4.8,10.7,0.45,1.9,4.5,0.423,2.9,6.2,0.469,0.539,1.7,1.8,0.897,0.6,2.3,3,1.2,0.3,0.1,0.9,2.3,13.2,12.1,0.573,0.419,0.173,2.3,8.8,5.5,6.3,0.5,0.3,7.5,18,2.6,0.4,3,0.078,1.1,-2.3,-1.2,0.4,0
303,Byron Mullens\mulleby01,PF,21,OKC,13,0,6.5,0.7,2.2,0.321,0,0,,0.7,2.2,0.321,0.321,0.5,1.1,0.5,0.5,1.4,1.8,0,0.2,0.2,0.6,0.8,1.9,3.5,0.366,0,0.5,8.6,24,16.5,0,1.2,2.6,19,22.5,-0.3,0.1,-0.2,-0.113,-12.5,-4.7,-17.2,-0.3,0
305,Hamady N'Diaye\ndiayha01,C,24,WAS,16,0,5,0.3,0.3,0.8,0,0,,0.3,0.3,0.8,0.8,0.4,0.8,0.5,0.1,0.3,0.4,0,0.1,0.3,0.2,1.1,0.9,5.3,0.681,0,2.4,2.8,7.4,5,0,1.3,4.8,22.6,7.3,0,0,0.1,0.046,-4.8,0.2,-4.6,-0.1,0
306,Eduardo N†jera\najered01,PF,34,CHA,31,0,12,0.8,2.3,0.361,0.4,1.1,0.324,0.5,1.2,0.395,0.438,0.2,0.4,0.545,0.5,1,1.4,0.6,0.4,0.2,0.4,1.7,2.2,5.5,0.449,0.472,0.153,4.5,9.8,7.2,8.2,1.6,1.3,14.5,11.3,-0.1,0.3,0.2,0.02,-3.2,0.1,-3.1,-0.1,0
307,Steve Nash*\nashst01,PG,36,PHO,75,75,33.3,5.3,10.8,0.492,1.1,2.7,0.395,4.2,8.1,0.525,0.542,3,3.3,0.912,0.5,2.9,3.5,11.4,0.6,0.1,3.5,1.2,14.7,20.8,0.601,0.253,0.307,1.8,10.2,6,53.1,1,0.1,22.4,21.4,7.3,0.7,7.9,0.153,3.6,-3,0.6,1.6,0
308,Gary Neal\nealga01,SG,26,SAS,80,1,21.1,3.6,7.9,0.451,1.6,3.9,0.419,2,4.1,0.481,0.553,1.1,1.3,0.808,0.3,2.2,2.5,1.2,0.3,0.1,1,1.9,9.8,13.1,0.578,0.487,0.165,1.5,11.8,6.8,9.1,0.8,0.2,10.3,20.6,2.1,1.4,3.5,0.099,0.9,-1.9,-1.1,0.4,0
309,Jameer Nelson\nelsoja01,PG,28,ORL,76,76,30.5,4.9,11,0.446,1.6,3.9,0.401,3.4,7.1,0.471,0.517,1.7,2.1,0.802,0.5,2.5,3,6,1,0,2.6,2.8,13.1,15.4,0.548,0.354,0.193,1.9,9.3,5.7,33.7,1.7,0.1,17.6,22,3.4,3.2,6.6,0.136,1.8,-0.2,1.6,2.1,0
310,Joakim Noah\noahjo01,C,25,CHI,48,48,32.8,4.4,8.4,0.525,0,0,0,4.4,8.4,0.526,0.525,2.9,3.9,0.739,3.8,6.6,10.4,2.2,1,1.5,1.9,3.3,11.7,18.8,0.579,0.002,0.468,13.9,22.8,18.5,10.7,1.6,3.5,15.7,16.8,3.1,3.6,6.7,0.205,0.7,4.2,4.9,2.8,0
311,AndrÇs Nocioni\nocioan01,SF,31,PHI,54,17,17.2,2.2,5.1,0.426,0.8,2.2,0.356,1.4,2.9,0.478,0.502,0.9,1.1,0.803,0.4,2.8,3.1,0.8,0.3,0.3,0.9,1.9,6.1,10.1,0.538,0.426,0.22,2.4,18.6,10.5,7.4,0.8,1.2,13.4,17.4,0.2,1.1,1.3,0.067,-2.3,-0.6,-3,-0.2,0
313,Dirk Nowitzki\nowitdi01,PF,32,DAL,73,73,34.3,8.4,16.2,0.517,0.9,2.3,0.393,7.5,13.8,0.538,0.545,5.4,6.1,0.892,0.7,6.3,7,2.6,0.5,0.6,1.9,2.4,23,23.4,0.612,0.142,0.376,2.4,20.8,12,14.2,0.8,1.4,9.1,28.2,7.8,3.3,11.1,0.213,3.2,0.6,3.8,3.7,0
314,Jermaine O'Neal\onealje01,C,32,BOS,24,10,18,2.1,4.5,0.459,0,0,0,2.1,4.5,0.463,0.459,1.2,1.8,0.674,1,2.6,3.7,0.5,0.1,1.3,1.1,2.7,5.4,9.2,0.504,0.009,0.394,7.6,17,12.6,4.3,0.2,5.4,17.4,17.2,-0.2,0.8,0.6,0.065,-5.4,2.4,-3,-0.1,0
315,Shaquille O'Neal*\onealsh01,C,38,BOS,37,36,20.3,3.6,5.4,0.667,0,0,,3.6,5.4,0.667,0.667,2,3.5,0.557,1.3,3.5,4.8,0.7,0.4,1.1,1.5,3.2,9.2,17.4,0.659,0,0.652,8.3,20.1,14.6,5.9,1.1,4.4,17.8,20.1,1.1,1.6,2.7,0.174,-1.1,2.6,1.5,0.7,0
316,Fabricio Oberto\obertfa01,C,35,POR,5,0,9,0.6,1,0.6,0,0,,0.6,1,0.6,0.6,0.2,0.4,0.5,0.6,0.8,1.4,0,0,0,0.6,2,1.4,0.8,0.595,0,0.4,7.8,11.4,9.5,0,0,0,33.8,9.2,0,0,0,-0.012,-6.4,-3.6,-10,-0.1,0
317,Lamar Odom\odomla01,PF,31,LAL,82,35,32.2,5.8,10.9,0.53,0.8,2.2,0.382,4.9,8.7,0.566,0.568,2,3,0.675,2.1,6.5,8.7,3,0.6,0.7,1.7,2.4,14.4,19.4,0.589,0.199,0.275,7.8,22.2,15.2,15.5,0.9,1.8,12.2,19.7,6.1,4,10.1,0.184,2.3,1.4,3.7,3.8,0
318,Emeka Okafor\okafoem01,C,28,NOH,72,72,31.8,4.2,7.3,0.573,0,0,0,4.2,7.3,0.574,0.573,2,3.6,0.562,3.2,6.3,9.5,0.6,0.6,1.8,1.7,3.2,10.3,16,0.584,0.002,0.492,12.2,24.3,18.2,3,0.9,4.6,15.7,15.8,2.7,3.8,6.5,0.136,-1.5,2.4,0.8,1.6,0
319,Mehmet Okur\okurme01,C,31,UTA,13,0,12.9,1.7,4.8,0.355,0.4,1.2,0.313,1.3,3.5,0.37,0.395,1.2,1.5,0.75,0.7,1.6,2.3,1.5,0.3,0.3,0.5,1.4,4.9,12.6,0.452,0.258,0.323,6.4,15.2,10.8,17.7,1.3,1.9,9,21.2,0.1,0.1,0.2,0.048,-1.4,-1.6,-3,0,0
320,Travis Outlaw\outlatr01,SF,26,NJN,82,55,28.8,3.3,8.9,0.375,0.9,3.1,0.302,2.4,5.8,0.413,0.427,1.6,2.1,0.772,0.7,3.3,4,1,0.4,0.4,0.9,1.8,9.2,8.8,0.469,0.345,0.234,2.6,14,8.1,5.8,0.8,1.2,8.1,17.3,-0.4,1.2,0.8,0.016,-2.6,-0.9,-3.6,-0.9,0
322,Zaza Pachulia\pachuza01,C,26,ATL,79,7,15.7,1.4,2.9,0.461,0,0,,1.4,2.9,0.461,0.461,1.7,2.3,0.754,1.5,2.7,4.2,0.7,0.4,0.3,0.9,2.3,4.4,12.4,0.562,0,0.772,11.6,20.6,16.1,7,1.5,1.3,18.2,14.5,1.5,1.6,3.1,0.118,-2.2,0.8,-1.5,0.2,0
323,Anthony Parker\parkean01,SF,35,CLE,72,65,29,3.1,7.7,0.399,1.2,3.2,0.379,1.9,4.5,0.412,0.476,1,1.3,0.779,0.5,2.6,3,3,0.9,0.1,1.1,1.5,8.3,10.5,0.505,0.411,0.172,1.8,10.5,6,16.7,1.7,0.4,11.9,14.6,0.9,0.6,1.5,0.034,-0.8,-0.7,-1.6,0.2,0
324,Tony Parker\parketo01,PG,28,SAS,78,78,32.4,7.1,13.7,0.519,0.3,0.9,0.357,6.8,12.8,0.531,0.531,3,3.9,0.769,0.4,2.7,3.1,6.6,1.2,0,2.6,1.7,17.5,20.4,0.569,0.065,0.283,1.4,9.3,5.5,35.2,1.9,0.1,14.3,25.5,5.8,2.4,8.2,0.156,2.5,-0.8,1.7,2.4,0
325,Patrick Patterson\pattepa01,PF,21,HOU,52,6,16.7,2.9,5.1,0.558,0,0,0,2.9,5.1,0.562,0.558,0.6,0.8,0.714,1.7,2.2,3.8,0.8,0.3,0.7,0.6,1.5,6.3,16.7,0.574,0.007,0.157,11.2,14.9,13.1,7.6,1,3,9.8,16.1,1.7,0.7,2.4,0.134,0,0.5,0.5,0.5,0
326,Chris Paul\paulch01,PG,25,NOH,80,80,36,5.4,11.6,0.463,0.9,2.3,0.388,4.5,9.3,0.482,0.502,4.2,4.8,0.878,0.5,3.6,4.1,9.8,2.4,0.1,2.2,2.5,15.9,23.7,0.578,0.197,0.414,1.6,12.3,6.9,45.8,3.5,0.1,13.9,21.1,9.5,4.4,13.9,0.232,5.4,1,6.4,6.1,0
328,Nikola Pekovi?\pekovni01,C,25,MIN,65,11,13.6,2.1,4,0.517,0,0,,2.1,4,0.517,0.517,1.3,1.8,0.763,1.4,1.6,3,0.4,0.3,0.5,1.4,2.8,5.5,11.2,0.573,0,0.433,11,13.2,12.1,4.8,1,3,22.5,19.4,0.2,0.5,0.6,0.035,-3.1,-0.8,-3.9,-0.4,0
330,Morris Peterson\petermo01,SG,33,OKC,4,0,5.8,0.5,1.3,0.4,0,0.3,0,0.5,1,0.5,0.4,0,0,,0,0.8,0.8,0.3,0,0,0,1.3,1,1.7,0.4,0.2,0,0,14.8,7.6,6.4,0,0,0,9.9,0,0,0,0.015,-5.1,-2.1,-7.3,0,0
331,Johan Petro\petrojo01,C,25,NJN,77,1,11.6,1.7,3.8,0.445,0,0.1,0,1.7,3.7,0.451,0.445,0.2,0.4,0.536,0.8,1.9,2.8,0.6,0.4,0.4,0.6,2.3,3.5,9.9,0.452,0.014,0.097,8,20.4,14,8.4,2,2.9,13.2,18.1,-0.7,1.1,0.4,0.024,-4.6,1.4,-3.2,-0.3,0
332,Paul Pierce\piercpa01,SF,33,BOS,80,80,34.7,6.3,12.8,0.497,1.4,3.7,0.374,5,9.1,0.547,0.551,4.8,5.6,0.86,0.4,5,5.4,3.3,1,0.6,2.1,2.9,18.9,19.7,0.62,0.291,0.44,1.6,16.6,9.5,16.1,1.5,1.4,12.3,24,6.5,5.1,11.6,0.201,3.1,1.6,4.7,4.7,0
334,Dexter Pittman\pittmde01,C,22,MIA,2,0,5.5,0.5,1.5,0.333,0,0,,0.5,1.5,0.333,0.333,0,0,,0.5,1,1.5,0,0,0,1,1,1,-6.4,0.333,0,0,11.5,20.4,16.2,0,0,0,40,21.3,-0.1,0,-0.1,-0.246,-15.7,-5.5,-21.2,-0.1,0
